#Reference     Prediction     Unit           Sigma    Weight    WSE*      Row*  Col*  Expression
#------------------------------------------------------------------------------------------------------------------------
+7.16          +11.71          kcal/mol       1.0000   1.0000    20.631    0     0     energy('PbI2_ML_Hex_EOS_ab_080')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+4.23          +6.93           kcal/mol       1.0000   2.0000    14.505    0     0     energy('PbI2_ML_Hex_EOS_ab_084')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+2.22          +3.89           kcal/mol       1.0000   4.0000    11.231    0     0     energy('PbI2_ML_Hex_EOS_ab_088')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+0.92          +1.40           kcal/mol       1.0000   10.0000   2.315     0     0     energy('PbI2_ML_Hex_EOS_ab_092')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+0.22          +0.38           kcal/mol       1.0000   20.0000   0.505     0     0     energy('PbI2_ML_Hex_EOS_ab_096')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+0.00          +0.00           kcal/mol       1.0000   40.0000   0.000     0     0     energy('PbI2_ML_Hex_EOS_ab_100')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+0.18          +0.21           kcal/mol       1.0000   20.0000   0.018     0     0     energy('PbI2_ML_Hex_EOS_ab_104')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+0.70          +0.89           kcal/mol       1.0000   10.0000   0.383     0     0     energy('PbI2_ML_Hex_EOS_ab_108')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+1.49          +1.70           kcal/mol       1.0000   4.0000    0.168     0     0     energy('PbI2_ML_Hex_EOS_ab_112')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+2.53          +3.07           kcal/mol       1.0000   2.0000    0.578     0     0     energy('PbI2_ML_Hex_EOS_ab_116')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+3.77          +4.73           kcal/mol       1.0000   1.0000    0.916     0     0     energy('PbI2_ML_Hex_EOS_ab_120')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+13.75         +15.96          kcal/mol       1.0000   1.0000    4.866     0     0     energy('PbI2_ML_Hex_EOS_a_080')/1.000 - energy('PbI2_ML_Hex_EOS_a_100')/1.000
+7.70          +10.32          kcal/mol       1.0000   2.0000    13.709    0     0     energy('PbI2_ML_Hex_EOS_a_084')/1.000 - energy('PbI2_ML_Hex_EOS_a_100')/1.000
+3.89          +5.71           kcal/mol       1.0000   4.0000    13.200    0     0     energy('PbI2_ML_Hex_EOS_a_088')/1.000 - energy('PbI2_ML_Hex_EOS_a_100')/1.000
+1.59          +2.78           kcal/mol       1.0000   10.0000   14.113    0     0     energy('PbI2_ML_Hex_EOS_a_092')/1.000 - energy('PbI2_ML_Hex_EOS_a_100')/1.000
+0.37          +0.69           kcal/mol       1.0000   20.0000   1.954     0     0     energy('PbI2_ML_Hex_EOS_a_096')/1.000 - energy('PbI2_ML_Hex_EOS_a_100')/1.000
+0.00          +0.00           kcal/mol       1.0000   40.0000   0.000     0     0     energy('PbI2_ML_Hex_EOS_a_100')/1.000 - energy('PbI2_ML_Hex_EOS_a_100')/1.000
+0.32          +0.48           kcal/mol       1.0000   20.0000   0.511     0     0     energy('PbI2_ML_Hex_EOS_a_104')/1.000 - energy('PbI2_ML_Hex_EOS_a_100')/1.000
+1.25          +1.87           kcal/mol       1.0000   10.0000   3.825     0     0     energy('PbI2_ML_Hex_EOS_a_108')/1.000 - energy('PbI2_ML_Hex_EOS_a_100')/1.000
+2.75          +3.90           kcal/mol       1.0000   4.0000    5.262     0     0     energy('PbI2_ML_Hex_EOS_a_112')/1.000 - energy('PbI2_ML_Hex_EOS_a_100')/1.000
+4.78          +5.47           kcal/mol       1.0000   2.0000    0.938     0     0     energy('PbI2_ML_Hex_EOS_a_116')/1.000 - energy('PbI2_ML_Hex_EOS_a_100')/1.000
+7.30          +9.15           kcal/mol       1.0000   1.0000    3.429     0     0     energy('PbI2_ML_Hex_EOS_a_120')/1.000 - energy('PbI2_ML_Hex_EOS_a_100')/1.000
+4.32          +8.46           kcal/mol       1.0000   1.0000    17.094    0     0     energy('PbI2_ML_MoS2_EOS_ab_080')/2.000 - energy('PbI2_ML_MoS2_EOS_ab_100')/2.000
+2.58          +6.31           kcal/mol       1.0000   2.0000    27.695    0     0     energy('PbI2_ML_MoS2_EOS_ab_084')/2.000 - energy('PbI2_ML_MoS2_EOS_ab_100')/2.000
+1.37          +3.76           kcal/mol       1.0000   4.0000    22.880    0     0     energy('PbI2_ML_MoS2_EOS_ab_088')/2.000 - energy('PbI2_ML_MoS2_EOS_ab_100')/2.000
+0.58          +2.07           kcal/mol       1.0000   10.0000   22.288    0     0     energy('PbI2_ML_MoS2_EOS_ab_092')/2.000 - energy('PbI2_ML_MoS2_EOS_ab_100')/2.000
+0.14          +0.80           kcal/mol       1.0000   20.0000   8.610     0     0     energy('PbI2_ML_MoS2_EOS_ab_096')/2.000 - energy('PbI2_ML_MoS2_EOS_ab_100')/2.000
+0.00          +0.00           kcal/mol       1.0000   40.0000   0.000     0     0     energy('PbI2_ML_MoS2_EOS_ab_100')/2.000 - energy('PbI2_ML_MoS2_EOS_ab_100')/2.000
+0.12          -0.43           kcal/mol       1.0000   20.0000   5.864     0     0     energy('PbI2_ML_MoS2_EOS_ab_104')/2.000 - energy('PbI2_ML_MoS2_EOS_ab_100')/2.000
+0.46          -0.50           kcal/mol       1.0000   10.0000   9.071     0     0     energy('PbI2_ML_MoS2_EOS_ab_108')/2.000 - energy('PbI2_ML_MoS2_EOS_ab_100')/2.000
+1.00          -0.41           kcal/mol       1.0000   4.0000    7.921     0     0     energy('PbI2_ML_MoS2_EOS_ab_112')/2.000 - energy('PbI2_ML_MoS2_EOS_ab_100')/2.000
+1.72          -0.08           kcal/mol       1.0000   2.0000    6.511     0     0     energy('PbI2_ML_MoS2_EOS_ab_116')/2.000 - energy('PbI2_ML_MoS2_EOS_ab_100')/2.000
+2.59          +0.52           kcal/mol       1.0000   1.0000    4.315     0     0     energy('PbI2_ML_MoS2_EOS_ab_120')/2.000 - energy('PbI2_ML_MoS2_EOS_ab_100')/2.000
+8.07          +8.08           kcal/mol       1.0000   1.0000    0.000     0     0     energy('PbI2_ML_MoS2_EOS_a_080')/2.000 - energy('PbI2_ML_MoS2_EOS_a_100')/2.000
+4.37          +5.64           kcal/mol       1.0000   2.0000    3.214     0     0     energy('PbI2_ML_MoS2_EOS_a_084')/2.000 - energy('PbI2_ML_MoS2_EOS_a_100')/2.000
+2.15          +3.64           kcal/mol       1.0000   4.0000    8.892     0     0     energy('PbI2_ML_MoS2_EOS_a_088')/2.000 - energy('PbI2_ML_MoS2_EOS_a_100')/2.000
+0.86          +1.99           kcal/mol       1.0000   10.0000   12.819    0     0     energy('PbI2_ML_MoS2_EOS_a_092')/2.000 - energy('PbI2_ML_MoS2_EOS_a_100')/2.000
+0.20          +0.86           kcal/mol       1.0000   20.0000   8.768     0     0     energy('PbI2_ML_MoS2_EOS_a_096')/2.000 - energy('PbI2_ML_MoS2_EOS_a_100')/2.000
+0.00          +0.00           kcal/mol       1.0000   40.0000   0.000     0     0     energy('PbI2_ML_MoS2_EOS_a_100')/2.000 - energy('PbI2_ML_MoS2_EOS_a_100')/2.000
+0.16          -0.23           kcal/mol       1.0000   20.0000   3.047     0     0     energy('PbI2_ML_MoS2_EOS_a_104')/2.000 - energy('PbI2_ML_MoS2_EOS_a_100')/2.000
+0.61          -0.28           kcal/mol       1.0000   10.0000   8.004     0     0     energy('PbI2_ML_MoS2_EOS_a_108')/2.000 - energy('PbI2_ML_MoS2_EOS_a_100')/2.000
+1.30          +0.03           kcal/mol       1.0000   4.0000    6.441     0     0     energy('PbI2_ML_MoS2_EOS_a_112')/2.000 - energy('PbI2_ML_MoS2_EOS_a_100')/2.000
+2.13          +0.60           kcal/mol       1.0000   2.0000    4.694     0     0     energy('PbI2_ML_MoS2_EOS_a_116')/2.000 - energy('PbI2_ML_MoS2_EOS_a_100')/2.000
+2.97          +1.37           kcal/mol       1.0000   1.0000    2.570     0     0     energy('PbI2_ML_MoS2_EOS_a_120')/2.000 - energy('PbI2_ML_MoS2_EOS_a_100')/2.000
+8.06          +6.67           kcal/mol       1.0000   1.0000    1.925     0     0     energy('PbI2_ML_Octa_EOS_ab_080')/2.000 - energy('PbI2_ML_Octa_EOS_ab_100')/2.000
+4.80          +3.93           kcal/mol       1.0000   2.0000    1.524     0     0     energy('PbI2_ML_Octa_EOS_ab_084')/2.000 - energy('PbI2_ML_Octa_EOS_ab_100')/2.000
+2.53          +1.91           kcal/mol       1.0000   4.0000    1.523     0     0     energy('PbI2_ML_Octa_EOS_ab_088')/2.000 - energy('PbI2_ML_Octa_EOS_ab_100')/2.000
+1.06          +0.67           kcal/mol       1.0000   10.0000   1.480     0     0     energy('PbI2_ML_Octa_EOS_ab_092')/2.000 - energy('PbI2_ML_Octa_EOS_ab_100')/2.000
+0.25          +0.13           kcal/mol       1.0000   20.0000   0.297     0     0     energy('PbI2_ML_Octa_EOS_ab_096')/2.000 - energy('PbI2_ML_Octa_EOS_ab_100')/2.000
+0.00          +0.00           kcal/mol       1.0000   40.0000   0.000     0     0     energy('PbI2_ML_Octa_EOS_ab_100')/2.000 - energy('PbI2_ML_Octa_EOS_ab_100')/2.000
+0.21          +0.42           kcal/mol       1.0000   20.0000   0.864     0     0     energy('PbI2_ML_Octa_EOS_ab_104')/2.000 - energy('PbI2_ML_Octa_EOS_ab_100')/2.000
+0.80          +0.93           kcal/mol       1.0000   10.0000   0.152     0     0     energy('PbI2_ML_Octa_EOS_ab_108')/2.000 - energy('PbI2_ML_Octa_EOS_ab_100')/2.000
+1.71          +1.87           kcal/mol       1.0000   4.0000    0.097     0     0     energy('PbI2_ML_Octa_EOS_ab_112')/2.000 - energy('PbI2_ML_Octa_EOS_ab_100')/2.000
+2.71          +2.96           kcal/mol       1.0000   2.0000    0.123     0     0     energy('PbI2_ML_Octa_EOS_ab_116')/2.000 - energy('PbI2_ML_Octa_EOS_ab_100')/2.000
+3.94          +4.07           kcal/mol       1.0000   1.0000    0.017     0     0     energy('PbI2_ML_Octa_EOS_ab_120')/2.000 - energy('PbI2_ML_Octa_EOS_ab_100')/2.000
+14.64         +11.61          kcal/mol       1.0000   1.0000    9.212     0     0     energy('PbI2_ML_Octa_EOS_a_080')/2.000 - energy('PbI2_ML_Octa_EOS_a_100')/2.000
+9.53          +6.80           kcal/mol       1.0000   2.0000    14.932    0     0     energy('PbI2_ML_Octa_EOS_a_084')/2.000 - energy('PbI2_ML_Octa_EOS_a_100')/2.000
+4.89          +3.48           kcal/mol       1.0000   4.0000    7.941     0     0     energy('PbI2_ML_Octa_EOS_a_088')/2.000 - energy('PbI2_ML_Octa_EOS_a_100')/2.000
+1.94          +1.28           kcal/mol       1.0000   10.0000   4.408     0     0     energy('PbI2_ML_Octa_EOS_a_092')/2.000 - energy('PbI2_ML_Octa_EOS_a_100')/2.000
+0.44          +0.28           kcal/mol       1.0000   20.0000   0.523     0     0     energy('PbI2_ML_Octa_EOS_a_096')/2.000 - energy('PbI2_ML_Octa_EOS_a_100')/2.000
+0.00          +0.00           kcal/mol       1.0000   40.0000   0.000     0     0     energy('PbI2_ML_Octa_EOS_a_100')/2.000 - energy('PbI2_ML_Octa_EOS_a_100')/2.000
+0.36          +0.54           kcal/mol       1.0000   20.0000   0.661     0     0     energy('PbI2_ML_Octa_EOS_a_104')/2.000 - energy('PbI2_ML_Octa_EOS_a_100')/2.000
+1.36          +1.42           kcal/mol       1.0000   10.0000   0.041     0     0     energy('PbI2_ML_Octa_EOS_a_108')/2.000 - energy('PbI2_ML_Octa_EOS_a_100')/2.000
+2.85          +2.76           kcal/mol       1.0000   4.0000    0.034     0     0     energy('PbI2_ML_Octa_EOS_a_112')/2.000 - energy('PbI2_ML_Octa_EOS_a_100')/2.000
+4.57          +4.32           kcal/mol       1.0000   2.0000    0.129     0     0     energy('PbI2_ML_Octa_EOS_a_116')/2.000 - energy('PbI2_ML_Octa_EOS_a_100')/2.000
+6.68          +6.08           kcal/mol       1.0000   1.0000    0.371     0     0     energy('PbI2_ML_Octa_EOS_a_120')/2.000 - energy('PbI2_ML_Octa_EOS_a_100')/2.000
-136.28        -115.48         kcal/mol       1.0000   0.0001    0.043     0     0     energy('CsI_CsCl_EOS_abc_100')/1.000
-218.35        -191.02         kcal/mol       1.0000   0.0001    0.075     0     0     energy('PbI2_Hex_EOS_abc_100')/1.000
+0.64          -0.61           kcal/mol       1.0000   20.0000   31.694    0     0     energy('CsI_NaCl_EOS_abc_100')/4.000 - energy('CsI_CsCl_EOS_abc_100')/1.000
+5.03          +8.60           kcal/mol       1.0000   20.0000   255.164   0     0     energy('PbI2_MoS2_EOS_abc_100')/2.000 - energy('PbI2_Hex_EOS_abc_100')/1.000
+4.81          +6.97           kcal/mol       1.0000   20.0000   93.277    0     0     energy('PbI2_ML_MoS2_EOS_ab_100')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+9.47          +2.85           kcal/mol       1.0000   20.0000   877.781   0     0     energy('PbI2_ML_Octa_EOS_ab_100')/1.000 - energy('PbI2_ML_Hex_EOS_ab_100')/1.000
+0.00          +0.08           kcal/mol       1.0000   2.0000    0.013     0     0     energy('PbI2_ML_PT_00')/1.000 - energy('PbI2_ML_PT_01')/1.000
+0.00          +0.00           kcal/mol       1.0000   2.0000    0.000     0     0     energy('PbI2_ML_PT_01')/1.000 - energy('PbI2_ML_PT_01')/1.000
+0.93          +1.91           kcal/mol       1.0000   2.0000    1.919     0     0     energy('PbI2_ML_PT_02')/1.000 - energy('PbI2_ML_PT_01')/1.000
+5.85          +8.13           kcal/mol       1.0000   2.0000    10.384    0     0     energy('PbI2_ML_PT_03')/1.000 - energy('PbI2_ML_PT_01')/1.000
